step,perf/cpu_memory_used_gb,perf/max_memory_allocated_gb,perf/max_memory_reserved_gb,train/global_tokens,train/grad_norm,train/loss,train/lr,train/mfu,train/total_tokens(B),val/loss
66,102.787,38.8101,42.1133,228129,0.12973,0.904538,2e-05,0.317066,0.015137,
67,102.804,38.8101,42.1719,230987,0.123264,0.906761,2e-05,0.317026,0.015368,
68,101.879,38.8101,42.1719,228294,0.129467,0.932655,2e-05,0.31632,0.0155963,
69,100.684,38.8101,42.1719,229000,0.135461,0.902467,2e-05,0.317082,0.0158253,
70,100.933,38.8101,42.1719,228291,0.124979,0.864799,2e-05,0.317907,0.0160536,
71,100.945,38.8101,42.1719,229088,0.128429,0.865792,2e-05,0.31727,0.0162827,
72,100.955,38.8101,42.1719,229652,0.134007,0.904889,2e-05,0.316898,0.0165123,
73,104.11,38.8101,42.1719,227851,0.139588,0.858398,2e-05,0.316928,0.0167402,
74,100.16,38.8101,42.1719,229583,0.130856,0.911631,2e-05,0.317472,0.0169698,
75,96.1973,38.8101,42.1719,229420,0.144598,0.828571,2e-05,0.316892,0.0171992,0.962334
76,92.2513,38.8101,42.1719,227387,0.132203,0.950999,2e-05,0.3182,0.0174266,
77,88.3278,38.8101,42.1719,228560,0.124276,0.895406,2e-05,0.317401,0.0176551,
78,84.38,38.8101,42.1719,230053,0.125127,0.871098,2e-05,0.317286,0.0178852,
79,80.4215,38.8101,42.1719,227521,0.139926,0.941871,2e-05,0.316349,0.0181127,
80,76.4768,38.8101,42.1719,230585,0.12472,0.845096,2e-05,0.317078,0.0183433,
81,73.2836,38.8101,42.1719,229392,0.128466,0.846068,2e-05,0.317128,0.0185727,
82,69.3006,38.8101,42.1719,228927,0.124811,0.874607,2e-05,0.31667,0.0188016,
83,65.3529,38.8101,42.1719,228334,0.134659,0.826345,2e-05,0.316793,0.01903,
84,61.3735,38.8101,42.1719,230966,0.129109,0.941724,2e-05,0.317326,0.0192609,
85,57.3779,38.8101,42.1719,230827,0.127574,0.928874,2e-05,0.317054,0.0194918,
86,53.381,38.8101,42.1719,229471,0.126932,0.933222,2e-05,0.317969,0.0197212,
87,49.4223,38.8101,42.1719,229076,0.130486,0.876108,2e-05,0.316726,0.0199503,
88,45.4469,38.8101,42.1719,229863,0.127369,0.863788,2e-05,0.317152,0.0201802,
89,41.4776,38.8101,42.1719,228597,0.127368,0.897032,2e-05,0.316827,0.0204088,
90,97.1384,38.8101,42.1719,229599,0.123701,0.910024,2e-05,0.319267,0.0206384,
91,100.306,38.8101,42.1719,229075,0.131267,0.819516,2e-05,0.316624,0.0208674,
92,100.48,38.8101,42.1719,229309,0.124533,0.882054,2e-05,0.317019,0.0210967,
93,100.743,38.8101,42.1719,229168,0.128743,0.925494,2e-05,0.31689,0.0213259,
94,101.345,38.8101,42.1719,227628,0.127144,0.873655,2e-05,0.316869,0.0215535,
