step,perf/cpu_memory_used_gb,perf/max_memory_allocated_gb,perf/max_memory_reserved_gb,train/global_tokens,train/grad_norm,train/loss,train/lr,train/mfu,train/total_tokens(B),val/loss
65,46.9743,38.8573,41.8594,230919,0.0845564,0.930681,0.0001,0.317486,0.00345394,
66,43.0059,38.8573,41.957,232571,0.0822611,0.906019,0.0001,0.317222,0.00368651,
67,39.0148,38.8573,41.957,231517,0.0824713,0.869825,0.0001,0.317592,0.00391803,
68,35.0332,38.8573,41.957,231180,0.0884198,0.88404,0.0001,0.317808,0.00414921,
69,31.0455,38.8573,41.957,231378,0.0846778,0.820007,0.0001,0.317694,0.00438059,
70,95.7624,38.8573,41.957,229496,0.0904943,0.89254,0.0001,0.318906,0.00461008,
71,96.0025,38.8573,42.0156,232313,0.0869398,0.898405,0.0001,0.317202,0.00484239,
72,95.8009,38.8573,42.0156,230944,0.0912278,0.923599,0.0001,0.317443,0.00507334,
73,95.6665,38.8573,42.0156,230696,0.084282,0.8654,0.0001,0.316817,0.00530403,
74,95.1296,38.8573,42.0156,230884,0.0918408,0.869429,0.0001,0.317425,0.00553492,
75,95.2319,38.8573,42.0156,230574,0.0874618,0.834571,0.0001,0.317821,0.00576549,0.918383
76,89.6894,38.6196,41.6641,231204,0.089831,0.899219,0.0001,0.313363,0.000231204,
77,90.2877,38.7431,41.6641,231002,0.091838,0.876004,0.0001,0.319399,0.000462206,
78,90.773,38.8023,41.7812,231318,0.0914781,0.854337,0.0001,0.317326,0.000693524,
79,91.1748,38.8023,41.7812,230619,0.0943183,0.888497,0.0001,0.317023,0.000924143,
80,91.3152,38.8498,41.7812,231648,0.100808,0.880619,0.0001,0.317331,0.00115579,
81,92.0567,38.8498,41.9961,230221,0.088739,0.815821,0.0001,0.316907,0.00138601,
82,91.9185,38.8498,41.9961,231572,0.0907695,0.867574,0.0001,0.317222,0.00161758,
83,91.9868,38.8498,41.9961,231115,0.0944142,0.905932,0.0001,0.316924,0.0018487,
84,92.8664,38.8498,41.9961,231386,0.0962454,0.922458,0.0001,0.316929,0.00208009,
85,92.5148,38.8498,41.9961,230343,0.0967477,0.872987,0.0001,0.317206,0.00231043,
86,92.834,38.8498,41.9961,228854,0.0956056,0.834917,0.0001,0.317239,0.00253928,
87,93.197,38.8498,41.9961,230829,0.0957796,0.874997,0.0001,0.318846,0.00277011,
88,93.2922,38.8498,41.9961,230323,0.0984312,0.854297,0.0001,0.31749,0.00300043,
89,92.6434,38.8498,41.9961,231716,0.101337,0.86324,0.0001,0.317353,0.00323215,
90,92.0462,38.8498,41.9961,230320,0.100538,0.897671,0.0001,0.317635,0.00346247,
91,92.9069,38.8498,41.9961,231244,0.101986,0.900005,0.0001,0.317278,0.00369371,
92,94.9657,38.8498,41.9961,231380,0.102686,0.894394,0.0001,0.317703,0.00392509,
93,94.2072,38.8498,41.9961,231938,0.103774,0.869992,0.0001,0.317269,0.00415703,
94,94.4524,38.8498,41.9961,230517,0.109803,0.839966,0.0001,0.316911,0.00438755,
95,94.6807,38.8498,41.9961,230280,0.106915,0.869799,0.0001,0.317242,0.00461783,
96,94.7088,38.8498,41.9961,230856,0.104155,0.86223,0.0001,0.317617,0.00484869,
97,94.037,38.8498,41.9961,229547,0.11621,0.899104,0.0001,0.318499,0.00507823,
98,93.5821,38.8498,41.9961,230959,0.112228,0.901594,0.0001,0.317749,0.00530919,
99,93.8063,38.8802,41.9961,231870,0.115113,0.903194,0.0001,0.31712,0.00554106,
100,95.6519,38.8802,41.9961,229139,0.120146,0.841367,0.0001,0.31745,0.0057702,0.920407
101,98.6134,38.8802,41.9961,229970,0.119927,0.891767,0.0001,0.317729,0.00600017,
102,98.4993,38.8802,41.9961,229731,0.119855,0.815082,0.0001,0.316951,0.0062299,
103,98.6835,38.9251,42.2305,232475,0.113067,0.852085,0.0001,0.317776,0.00646238,
104,98.8178,38.9251,42.2305,230093,0.114963,0.86043,0.0001,0.317659,0.00669247,
105,98.2114,38.9251,42.2305,231271,0.115382,0.900757,0.0001,0.317129,0.00692374,
106,97.5468,38.9251,42.2305,231954,0.121484,0.899698,0.0001,0.317333,0.00715569,
107,98.1975,38.9251,42.2305,231824,0.12042,0.886986,0.0001,0.317099,0.00738752,
108,100.531,38.9251,42.2305,231591,0.12129,0.87329,0.0001,0.317613,0.00761911,
109,99.5794,38.9251,42.2305,231533,0.117845,0.93441,0.0001,0.316278,0.00785064,
110,99.6802,38.9251,42.2305,229961,0.121078,0.901784,0.0001,0.316495,0.0080806,
111,99.8683,38.9251,42.2305,230521,0.121542,0.996588,0.0001,0.31727,0.00831112,
112,100.306,38.9251,42.2305,231861,0.116237,0.877857,0.0001,0.318626,0.00854298,
113,99.3879,38.9251,42.2305,230423,0.116926,0.862545,0.0001,0.317509,0.00877341,
