step,perf/cpu_memory_used_gb,perf/max_memory_allocated_gb,perf/max_memory_reserved_gb,train/global_tokens,train/grad_norm,train/loss,train/lr,train/mfu,train/total_tokens(B),val/loss
66,101.037,39.0318,42.2695,231928,0.229322,0.953971,0.0001,0.318062,0.00950114,
67,101.317,39.0318,42.2695,231438,0.243856,0.960627,0.0001,0.317894,0.00973258,
68,101.429,39.0318,42.2695,231517,0.245499,0.943162,0.0001,0.317713,0.00996409,
69,103.238,39.0318,42.2695,230971,0.26086,0.906658,0.0001,0.316993,0.0101951,
70,103.097,39.0318,42.2695,231236,0.234368,0.962457,0.0001,0.317916,0.0104263,
71,103.416,39.0318,42.2695,232203,0.227079,0.984933,0.0001,0.317201,0.0106585,
72,103.202,39.0318,42.2695,231646,0.258763,0.953008,0.0001,0.318921,0.0108901,
73,103.456,39.0318,42.2695,232573,0.247596,0.914434,0.0001,0.317291,0.0111227,
74,103.523,39.0318,42.2695,231107,0.239641,0.955862,0.0001,0.317899,0.0113538,
75,103.727,39.0318,42.2695,232186,0.235239,0.890318,0.0001,0.318147,0.011586,0.964426
76,107.943,39.0318,42.2695,230160,0.233505,0.905638,0.0001,0.318199,0.0118162,
77,108.427,39.0318,42.2695,232454,0.242062,0.936314,0.0001,0.317123,0.0120486,
78,108.45,39.0318,42.2695,231607,0.267926,1.00116,0.0001,0.317781,0.0122802,
79,107.421,39.0318,42.2695,230500,0.242877,0.887511,0.0001,0.316523,0.0125107,
80,106.496,39.0318,42.2695,232170,0.248388,0.949005,0.0001,0.317995,0.0127429,
81,106.528,39.0318,42.2695,230222,0.250606,0.994212,0.0001,0.316836,0.0129731,
82,105.438,39.0318,42.2695,230558,0.251357,0.859903,0.0001,0.317398,0.0132037,
83,105.444,39.0318,42.2695,231265,0.240811,0.97355,0.0001,0.317634,0.013435,
84,105.504,39.0318,42.2695,232280,0.249157,0.909875,0.0001,0.318031,0.0136672,
85,108.537,39.0318,42.2695,232011,0.262367,0.955895,0.0001,0.317364,0.0138992,
86,108.543,39.0318,42.2695,231008,0.268503,0.927295,0.0001,0.319146,0.0141303,
87,107.976,39.0318,42.2695,231957,0.257914,0.866525,0.0001,0.317282,0.0143622,
88,107.77,39.0318,42.2695,232172,0.236492,0.920494,0.0001,0.317752,0.0145944,
89,107.746,39.0318,42.2695,233122,0.241998,0.905158,0.0001,0.317186,0.0148275,
90,107.035,39.0318,42.2695,231681,0.256631,0.942478,0.0001,0.317607,0.0150592,
91,107.051,39.0318,42.2695,231118,0.257882,0.899001,0.0001,0.317615,0.0152903,
92,107.068,39.0318,42.2695,232192,0.252562,0.918125,0.0001,0.318047,0.0155225,
93,109.104,39.0318,42.2695,232049,0.254712,0.918059,0.0001,0.317422,0.0157545,
94,109.354,39.0318,42.2695,232502,0.245341,0.980025,0.0001,0.318507,0.015987,
95,109.277,39.0318,42.2695,232150,0.25679,0.916589,0.0001,0.317266,0.0162192,
96,109.27,39.0318,42.2695,231705,0.254217,0.965015,0.0001,0.317943,0.0164509,
97,109.072,39.0318,42.3281,232512,0.249859,0.911818,0.0001,0.318239,0.0166834,
98,108.778,39.0318,42.3281,231517,0.238815,0.897375,0.0001,0.31779,0.0169149,
99,108.781,39.0318,42.3281,230607,0.295535,0.943175,0.0001,0.317613,0.0171455,
100,108.901,39.0318,42.3281,229993,0.261617,0.943478,0.0001,0.317533,0.0173755,0.946159
101,107.706,39.0318,42.3281,232324,0.243209,0.959212,0.0001,0.317159,0.0176079,
102,107.701,39.0318,42.3281,232152,0.27418,0.90844,0.0001,0.318921,0.01784,
103,105.963,39.0318,42.3281,232155,0.268219,0.903899,0.0001,0.317082,0.0180722,
104,105.597,39.0318,42.3281,230288,0.263603,0.936205,0.0001,0.317243,0.0183024,
105,101.637,39.0318,42.3281,229865,0.274107,0.89827,0.0001,0.316867,0.0185323,
106,97.6786,39.0318,42.3281,231817,0.289157,0.901691,0.0001,0.317429,0.0187641,
107,93.7211,39.0318,42.3281,232116,0.284036,0.890782,0.0001,0.317357,0.0189962,
108,89.7414,39.0318,42.3281,230901,0.270363,0.917394,0.0001,0.317378,0.0192271,
109,88.6996,39.0318,42.3281,232151,0.271095,0.889813,0.0001,0.317767,0.0194593,
110,84.714,39.0318,42.3281,231192,0.267185,0.870038,0.0001,0.317779,0.0196905,
111,80.7506,39.0318,42.3281,233585,0.288269,0.949372,0.0001,0.317803,0.0199241,
112,76.7548,39.0318,42.3281,233080,0.271235,0.891398,0.0001,0.319132,0.0201572,
113,72.7722,39.0318,42.3281,232706,0.268305,0.899642,0.0001,0.31771,0.0203899,
114,68.7892,39.0318,42.3281,232299,0.265349,0.929454,0.0001,0.317543,0.0206222,
115,64.8037,39.0318,42.3281,232096,0.278966,0.921616,0.0001,0.317432,0.0208543,
116,60.8439,39.0318,42.3281,231520,0.263035,0.945708,0.0001,0.317191,0.0210858,
117,56.8779,39.0318,42.3281,232340,0.266021,0.879441,0.0001,0.317497,0.0213181,
118,52.8983,39.0318,42.3281,229797,0.281992,0.904587,0.0001,0.316784,0.0215479,
119,48.9417,39.0318,42.3281,230986,0.274128,0.931785,0.0001,0.317077,0.0217789,
120,45.0059,39.0318,42.3281,231144,0.279063,0.933576,0.0001,0.317086,0.02201,0.937601
