step,perf/cpu_memory_used_gb,perf/max_memory_allocated_gb,perf/max_memory_reserved_gb,train/global_tokens,train/grad_norm,train/loss,train/lr,train/mfu,train/total_tokens(B),val/loss
67,103.259,38.8101,42.1719,230987,0.122229,0.90648,2e-05,0.316777,0.015368,
68,102.322,38.8101,42.1719,228294,0.129485,0.932118,2e-05,0.31701,0.0155963,
69,102.381,38.8101,42.1719,229000,0.145454,0.903039,2e-05,0.316831,0.0158253,
70,102.39,38.8101,42.1719,228291,0.124806,0.864997,2e-05,0.316036,0.0160536,
71,101.765,38.8101,42.1719,229088,0.133945,0.865891,2e-05,0.31835,0.0162827,
72,101.816,38.8101,42.1719,229652,0.135426,0.904242,2e-05,0.31702,0.0165123,
73,104.488,38.8101,42.1719,227851,0.140678,0.857934,2e-05,0.317216,0.0167402,
74,100.551,38.8101,42.1719,229583,0.133532,0.911821,2e-05,0.317105,0.0169698,
75,96.5956,38.8101,42.1719,229420,0.135804,0.828039,2e-05,0.316748,0.0171992,0.962774
76,92.6438,38.8101,42.1719,227387,0.136879,0.951057,2e-05,0.317769,0.0174266,
77,88.7132,38.8101,42.1719,228560,0.122652,0.895749,2e-05,0.315876,0.0176551,
78,84.7732,38.8101,42.1719,230053,0.126828,0.870977,2e-05,0.316842,0.0178852,
79,80.8105,38.8101,42.1719,227521,0.137095,0.941842,2e-05,0.316448,0.0181127,
80,76.8633,38.8101,42.1719,230585,0.125471,0.84505,2e-05,0.316836,0.0183433,
81,74.2056,38.8101,42.1719,229392,0.128744,0.845817,2e-05,0.316601,0.0185727,
82,70.2213,38.8101,42.1719,228927,0.125275,0.874502,2e-05,0.316197,0.0188016,
83,66.253,38.8101,42.1719,228334,0.132826,0.826234,2e-05,0.316385,0.01903,
84,62.2966,38.8101,42.1719,230966,0.128759,0.941573,2e-05,0.31707,0.0192609,
85,58.3048,38.8101,42.1719,230827,0.127929,0.928559,2e-05,0.316674,0.0194918,
86,54.3025,38.8101,42.1719,229471,0.125403,0.933426,2e-05,0.317717,0.0197212,
87,50.3376,38.8101,42.1719,229076,0.132758,0.876394,2e-05,0.316456,0.0199503,
88,46.3652,38.8101,42.1719,229863,0.128407,0.864211,2e-05,0.316834,0.0201802,
89,42.397,38.8101,42.1719,228597,0.126886,0.897402,2e-05,0.316587,0.0204088,0.962197
